MsgID.GLOBAL_POSITION,1520864175.4715269,-122.3957508,37.7932816,0.0530000
MsgID.LOCAL_VELOCITY,1520864175.4715269,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520864175.4718871,-0.0156126,0.0582386,-0.0532418
MsgID.LOCAL_VELOCITY,1520864175.4718871,0.0000000,0.0000000,-0.0000000
MsgID.LOCAL_POSITION,1520864175.4721279,0.0204697,0.0091270,-0.0091017
MsgID.LOCAL_VELOCITY,1520864175.4721279,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520864175.4723520,-122.3957514,37.7932819,0.0090000
MsgID.LOCAL_VELOCITY,1520864175.4723520,0.0000000,0.0000000,0.0000000
MsgID.STATE,1520864175.4727418,False,False
MsgID.GLOBAL_HOME,1520864175.4735110,-122.3957515,37.7932817,0.0000000
MsgID.LOCAL_POSITION,1520864175.4737380,0.0277004,-0.0133179,0.0256549
MsgID.LOCAL_VELOCITY,1520864175.4737380,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520864175.4739919,-122.3957516,37.7932820,-0.0250000
MsgID.LOCAL_VELOCITY,1520864175.4739919,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520864175.4742389,0.0380419,-0.1316268,0.0472354
MsgID.LOCAL_VELOCITY,1520864175.4742389,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520864175.4744320,-122.3957529,37.7932821,-0.0470000
MsgID.LOCAL_VELOCITY,1520864175.4744320,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520864175.4746649,-0.0033566,0.0427684,0.0576514
MsgID.LOCAL_VELOCITY,1520864175.4746649,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520864175.4748659,-122.3957510,37.7932817,-0.0570000
MsgID.LOCAL_VELOCITY,1520864175.4748659,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520864175.4749939,-0.0493989,0.1165601,0.0563388
MsgID.LOCAL_VELOCITY,1520864175.4749939,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520864175.4751260,-122.3957502,37.7932813,-0.0560000
MsgID.LOCAL_VELOCITY,1520864175.4751260,0.0000000,0.0000000,0.0000000
MsgID.STATE,1520864175.4753048,False,False
MsgID.GLOBAL_HOME,1520864175.4754510,-122.3957515,37.7932817,0.0000000
MsgID.LOCAL_POSITION,1520864175.4755571,-0.1232190,0.0011797,0.0447215
MsgID.LOCAL_VELOCITY,1520864175.4755571,0.0000000,0.0000000,-0.0000000
